icao24,callsign,origin_country,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,true_track,vertical_rate,sensors,geo_altitude,squawk,spi,position_source
48482d,PH974   ,Kingdom of the Netherlands,1728145455.0,1728145455,5.9136,52.0441,220.98,False,30.15,306.67,-0.33,,,7000,False,0
a339aa,N307DM  ,United States,1728145455.0,1728145456,-83.3798,43.0523,3695.7,False,113.2,358.96,0.0,,3825.24,,False,0
ac4237,SWA188  ,United States,1728145456.0,1728145456,-88.3565,35.9139,7901.94,False,218.56,98.66,-5.2,,8328.66,7205,False,0
aa7734,SWA2989 ,United States,1728145455.0,1728145455,-111.5864,35.6122,11277.6,False,258.06,92.86,0.0,,11902.44,7250,False,0
a4216f,N3651W  ,United States,1728145455.0,1728145455,-84.0046,40.3369,853.44,False,61.24,1.44,-1.63,,914.4,,False,0
a757ae,AAL1890 ,United States,1728145455.0,1728145456,-114.6396,35.8916,4907.28,False,206.18,86.42,10.08,,5219.7,7636,False,0
ad1ef4,N9444M  ,United States,1728145452.0,1728145455,-97.0517,33.6298,1424.94,False,86.28,196.27,-2.93,,1501.14,,False,0
aac5fd,N7933T  ,United States,1728145455.0,1728145455,-88.2829,42.8403,998.22,False,49.12,133.73,0.0,,1021.08,,False,0
a31fa0,SFY203  ,United States,1728145455.0,1728145455,-80.4587,27.7546,525.78,False,51.61,203.5,-0.98,,518.16,,False,0
344648,IBE32ZZ ,Spain,1728145455.0,1728145455,-3.524,40.7917,2156.46,False,124.2,227.85,-5.53,,2316.48,4056,False,0
4cc576,ICE599  ,Iceland,1728145456.0,1728145456,-3.6975,42.3627,10233.66,False,231.22,354.0,4.88,,10744.2,4544,False,0
344644,VLG17VL ,Spain,1728145455.0,1728145455,6.762,47.8049,11277.6,False,252.1,203.32,0.0,,11544.3,0764,False,0
a54d48,OXF1593 ,United States,1728145455.0,1728145456,-111.7741,33.1418,1645.92,False,44.4,169.99,0.65,,1729.74,,False,0
